,place_name,bedroom,area,kecamatan,city,final_price,date,final_mortage_monthly
18570,Jual Bu Apartment Batavia Benhil 3 BR Furnished Bagus Full Renov,3.0,120.0,Bendungan Hilir,Jakarta Pusat,3200000000.0,08/05/2023,22000000.0
18584,"Apartemen Green Park View, Ada 1 Br, Harga Murah, Siap Huni, Rapi Dan Bagus",1.0,23.0,Cengkareng,Jakarta Barat,250000000.0,08/05/2023,1000000.0
18599,Jual Apartment Residence 8 Senopati 2 Bedroom Lantai Sedang Furnished,2.0,178.0,Kebayoran Baru,Jakarta Selatan,6300000000.0,08/05/2023,45000000.0
18615,Apartement Kemang Village Residence 3 BR Furnished Bagus Nv,3.0,165.0,Kemang,Jakarta Selatan,4800000000.0,26/05/2023,34000000.0
18632,"1 Unit Apartemen Mewah Di Kawasan Bisnis, Mega Kuningan Jaksel",2.0,133.0,Setiabudi,Jakarta Selatan,4500000000.0,01/06/2023,32000000.0
18650,APARTEMEN NEO SOHO RESIDENCE DI LANTAI 28 FULL FURNISH,1.0,96.0,Grogol,Jakarta Barat,2500000000.0,08/05/2023,17000000.0
18669,"Kode 16004 ir , Dijual Apartment Jakarta Kemayoran, Luas 49 Meter, Jakarta Pusat",2.0,49.0,Kemayoran,Jakarta Pusat,1300000000.0,08/05/2023,9000000.0
18689,"St Moritz, Tower Presidential",4.0,205.0,Puri Indah,Jakarta Barat,6000000000.0,08/05/2023,42000000.0
18692,Jual Bu Apartemen The Mansion 2 BR Furnished Bagus,2.0,62.0,Kemayoran,Jakarta Pusat,900000000.0,08/05/2023,6000000.0
18695,Dijual Apartemen The Mansion Jasmine Kemayoran 2br Furnised,2.0,70.0,Kemayoran,Jakarta Pusat,1150000000.0,08/05/2023,8000000.0
18699,"Dijual Apartemen Salemba Residence 2 Br,",2.0,45.0,Salemba,Jakarta Pusat,1550000000.0,05/06/2023,11000000.0
18710,Apartement Grand Madison 2 BR Furnished Baru,2.0,73.0,Central Park,Jakarta Barat,2400000000.0,30/05/2023,17000000.0
18717,Dijual Harga Termurah Apartemen Tokyo Riverside Pik 2,2.0,36.0,Pantai Indah Kapuk,Jakarta Utara,447000000.0,02/05/2023,3000000.0
18725,Apartement Casa Grande Phase 2 Murah 3+1br Private Lift Jakarta,3.0,153.0,Cassablanca,Jakarta Selatan,6500000000.0,02/05/2023,46000000.0
18734,Apartemen Pluit Seaview 2br Unfurnished siap pakai,2.0,42.0,Muara Baru,Jakarta Utara,25000000.0,16/05/2023,180000.0
18744,Apartemen Residence 8 @senopati 3 Kamar Tidur Furnished Bagus,3.0,180.0,Senopati,Jakarta Selatan,8700000000.0,02/05/2023,62000000.0
18755,Apartemen Mewah Menteng Park Semi Furnished,2.0,60.0,Cikini,Jakarta Pusat,3000000000.0,02/05/2023,21000000.0
18767,Dijual Apartemen Green Central City 2br Furnished Bagus,2.0,56.0,Tamansari,Jakarta Barat,1100000000.0,02/05/2023,7000000.0
18780,Apartemen Pantai Mutiara Tower Bunaken Jakarta Utara,3.0,60.0,Pantai Mutiara,Jakarta Utara,1800000000.0,02/05/2023,12000000.0
18794,Apartemen Semanggi 2 BR Lokasi Strategis,2.0,68.0,Gatot Subroto,Jakarta Selatan,1550000000.0,12/05/2023,11000000.0
18809,Dijual Apartement Sahid Sudirman Residence 2 BR di Karet Jakpus,2.0,83.0,Karet Tengsin,Jakarta Pusat,2300000000.0,02/05/2023,16000000.0
18825,Apartemen Tokyo Riverside Apartment PIK 2 Tower C Full Furnished Ala Jepang Siap Huni View Taman,1.0,21.0,Pantai Indah Kapuk,Jakarta Utara,390000000.0,02/05/2023,2000000.0
18842,"Jual Cepat Apartemen Cantik Greenlake, di Sunter, Jakarta Utara",2.0,42.0,Sunter,Jakarta Utara,600000000.0,02/05/2023,4000000.0
18860,Apartement Apartemen Ancol Mansion Bagus Siap Huni,1.0,67.0,Ancol,Jakarta Utara,1100000000.0,02/05/2023,7000000.0
18879,Apartemen Tokyo Riverside Apartment PIK 2 Tower D Full Furnished Ala Jepang Siap Huni View Taman,1.0,21.0,Pantai Indah Kapuk,Jakarta Utara,390000000.0,02/05/2023,2000000.0
18899,Apartemen Osaka Riverview Apartment PIK 2 Tower B Full Furnished Minimalis Siap Huni View Taman,1.0,14.0,Pantai Indah Kapuk,Jakarta Utara,290000000.0,02/05/2023,2000000.0
18900,Apartemen Green Palm Apartment Studio Hoek Corner Tower A Full Furnished View Pool Dekat Green Lake Taman Semanan Puri Indah,1.0,26.0,Cengkareng,Jakarta Barat,320000000.0,02/05/2023,2000000.0
18902,Apartemen Green Palm Apartment 2 Bedroom Tower D Full Furnished Dekat Green Lake Taman Semanan Puri Indah,36.0,36.0,Cengkareng,Jakarta Barat,480000000.0,02/05/2023,3000000.0
18905,Dijual Rugi Apartemen Tokyo Riverside Pik 2 Type Studio,1.0,21.0,Pantai Indah Kapuk,Jakarta Utara,237000000.0,02/05/2023,1000000.0
18909,Grand madison 2BR unfurnished dijual,2.0,53.0,Central Park,Jakarta Barat,2500000000.0,02/05/2023,17000000.0
18914,APARTEMEN MAPLE PARK CANTIK & LOKASI STRATEGIS DI SUNTER JAKUT,3.0,73.0,Sunter,Jakarta Utara,1000000000.0,02/05/2023,7000000.0
18920,"Apartemen The Mansion Kemayoran, 2br, Furnished",2.0,51.0,Kemayoran,Jakarta Pusat,1000000000.0,02/05/2023,7000000.0
18927,Dijual Apt Grand Palace Kemayoran Lb.95m Siap Huni,3.0,95.0,Kemayoran,Jakarta Pusat,850000000.0,24/05/2023,6000000.0
18935,Apartemen Thamrin City Cosmo Terrace 2 Bedroom,2.0,56.0,Tanah Abang,Jakarta Pusat,1600000000.0,02/05/2023,11000000.0
18944,"Casa Grande Residence, Tower Montana, 2br Fully Furnish Cantik, Harga Terbaik",2.0,80.0,Cassablanca,Jakarta Selatan,2300000000.0,02/06/2023,16000000.0
